,State,RecidivismRate,PrisonPopulation,ImprisonmentRate,Population,qualityoflifetotalscore,QualityOfLifeAffordability,QualityOfLifeEconomy,QualityOfLifeEducationAndHealth,QualityOfLifeSafety,Male,Female,Total,Rape,Arson,Fraud,Larceny,Robbery,Runaway,Weapons,Burglary,Gambling,Vagrancy,Suspicion,Vandalism,Drunkenness,Embezzlement,Sex_Offenses,Rape_Legacy,Simple_Assault,Drug_Possession,Stolen_Property,Human_Trafficking,Aggravated_Assault,All_Other_Offenses,Disorderly_Conduct,Motor_Vehicle_Theft,Drug_Abuse_Violations,Liquor_Law_Violations,Counterfeiting_or_Forgery,Drug_Sale_or_Manufacturing,Drive_Under_the_Influence,Manslaughter_by_Negligence,Murder_and_Nonnegligent_Homicide,Curfew_and_Loitering_Law_Violations,Prostitution_and_Commercialized_Vice,Offenses_Against_the_Family_and_Children,Asian,White,Unknown,Multiple,NotSpecified,Black,NativeAmerican,NativeHawaiianOrPacificIslander,Male_Age_15,Male_Age_16,Male_Age_17,Male_Age_18,Male_Age_19,Male_Age_20,Male_Age_21,Male_Age_22,Male_Age_23,Male_Age_24,Male_Age_10_12,Male_Age_11_12,Male_Age_13_14,Male_Age_25_29,Male_Age_30_34,Male_Age_35_39,Male_Age_40_44,Male_Age_45_49,Male_Age_50_54,Male_Age_55_59,Male_Age_60_64,Male_Age_Under_10,Male_Age_Under_11,Male_Age_65_and_over,Male_Age_Adult_Other,Male_Age_Juvenile_Other,Female_Age_15,Female_Age_16,Female_Age_17,Female_Age_18,Female_Age_19,Female_Age_20,Female_Age_21,Female_Age_22,Female_Age_23,Female_Age_24,Female_Age_10_12,Female_Age_11_12,Female_Age_13_14,Female_Age_25_29,Female_Age_30_34,Female_Age_35_39,Female_Age_40_44,Female_Age_45_49,Female_Age_50_54,Female_Age_55_59,Female_Age_60_64,Female_Age_Under_10,Female_Age_Under_11,Female_Age_65_and_over,Female_Age_Adult_Other,Female_Age_Juvenile_Other
10,Arizona,39.8,33584,461.55,7582384,21,25,14,39,40,152222,58321,304444,0,208,1632,18799,1409,0,4243,2612,0,2081,731,7383,77,468,814,367,27773,31805,1136,31,9700,60852,14074,1565,10823,3953,443,3792,22954,59,410,293,1259,606,1645,149779,1723,0,0,30100,26651,638,2142,2413,2372,3008,3111,3206,3331,3738,3855,3955,865,0,2654,22435,25667,21150,15990,10511,8000,5883,4355,77,0,3504,0,0,1061,1096,970,1121,1202,1298,1465,1493,1566,1669,486,0,1545,8820,9711,8254,6129,3776,2591,1820,1158,22,0,1068,0,0
11,Massachusetts,32,6190,88.62,7136171,6,44,10,1,4,65790,23522,131580,0,77,743,6395,516,0,1516,1325,12,7,0,2082,0,46,302,281,17348,3335,768,9,7035,32238,2364,535,41,805,338,1847,8156,8,66,0,196,974,1430,65024,3674,0,0,18995,117,72,769,896,1040,1247,1279,1422,1528,1518,1539,1557,146,0,966,8796,10189,8990,7143,4929,4232,3231,2256,4,0,2113,0,0,324,351,363,434,459,464,484,561,523,503,97,0,407,2948,3662,3534,2738,1810,1438,1050,748,6,0,618,0,0
12,Indiana,34,23257,341.71,6924275,33,3,43,37,24,91949,37103,183898,0,97,1040,9301,595,0,2496,1318,15,12,0,570,0,188,369,245,16474,19916,638,5,4786,47047,2778,1382,135,1569,304,1745,15240,43,171,154,67,502,1133,83051,2958,0,0,41675,143,92,1362,1464,1535,2238,2422,2318,2529,2494,2571,2475,481,0,1700,13363,14122,11780,9589,6443,5177,3760,2489,40,0,1597,0,0,663,662,628,751,939,899,933,1001,1084,1042,340,0,1018,5395,5933,5134,3964,2648,1787,1095,731,10,0,446,0,0
13,Maryland,40.5,15317,248.45,6263220,31,38,31,12,13,76944,26273,153888,0,112,519,8373,2427,0,3476,2069,1,90,0,1671,12,113,297,416,12481,6269,686,22,6431,37634,1959,2132,632,660,127,2382,11948,23,288,25,63,1082,1127,45960,1688,0,0,54227,109,106,1764,1849,1799,1808,1837,1891,1920,2063,2110,2182,183,0,2261,11290,12061,9625,7203,4615,3671,3051,2077,22,0,1662,0,0,821,595,514,483,502,522,703,691,759,716,96,0,1194,4170,4376,3463,2409,1407,1089,819,551,3,0,390,0,0
14,Missouri,43,23608,382.74,6245466,23,5,33,34,42,94741,41417,189482,0,149,1330,13607,880,0,2618,2558,27,393,0,3269,0,260,199,450,17252,11915,2166,6,7180,41786,4338,1827,80,1931,926,1377,18306,29,330,221,119,736,586,90348,1354,0,0,43433,190,247,1155,1385,1487,2354,2440,2229,2154,2279,2342,2179,520,0,1603,12687,14819,12606,10838,7116,5349,4167,2893,103,0,2036,0,0,597,689,621,968,1084,1019,995,1020,1010,1016,287,0,829,5505,6817,6078,4804,3005,2185,1398,880,19,0,591,0,0
15,Wisconsin,38,21152,358.76,5960975,10,32,24,13,12,136919,60322,273838,0,110,1513,17378,797,0,4040,1324,3,449,0,4996,0,388,902,862,17836,25474,964,25,5708,58713,23985,1519,2705,5965,571,2668,20283,50,204,1044,225,1797,2626,133260,4754,0,0,49911,6458,232,3411,4185,4292,3999,3951,3832,3477,3484,3450,3306,1545,0,4662,17023,18381,16675,13524,8582,6611,5470,3853,89,0,3117,0,0,2078,2239,2013,1801,1996,1804,1493,1482,1416,1431,903,0,3098,7177,8511,7418,5538,3416,2433,1773,1228,29,0,1045,0,0
16,Colorado,50,16743,288.07,5957493,12,28,18,10,43,125272,48617,250544,0,283,1391,14528,1178,0,2532,2639,14,190,0,5047,0,72,303,369,17558,11033,1141,13,7595,76120,4621,3599,188,2444,335,1157,16628,41,203,135,191,2543,1821,147602,0,0,0,21672,2520,274,1818,1949,1790,2168,2312,2451,2649,3005,2833,3000,677,0,2149,17490,21222,17813,14872,9039,7135,5034,3461,4,0,2401,0,0,1006,876,730,870,953,876,1080,1115,1165,1156,494,0,1537,6700,8219,7255,5592,3460,2272,1492,951,1,0,817,0,0
17,Minnesota,25,7848,137.51,5793151,8,12,25,9,31,87140,33911,174280,0,140,2644,16938,777,0,2706,1626,6,185,0,2049,0,92,476,514,13298,9528,1792,45,3900,31818,4684,860,14,3036,646,680,21736,42,157,411,81,190,2482,58009,23578,0,0,31301,5492,189,1421,1746,1868,2225,2291,2208,2285,2316,2370,2404,450,0,1754,12085,12794,11365,9159,5757,4443,3427,2504,9,0,2259,0,0,779,827,812,933,1013,935,935,932,872,921,265,0,1151,4442,4952,4472,3582,2051,1586,1138,737,0,0,576,0,0
18,South Carolina,24.5,14100,271.64,5478831,26,11,27,46,49,113704,38831,227408,0,189,2409,14748,765,0,4769,2676,39,631,0,3021,0,298,280,370,17781,21809,2002,2,5931,41001,6987,1104,96,3360,899,5830,14153,11,398,34,43,1034,686,82814,928,0,0,67594,423,90,1434,1799,1839,2928,3070,2991,3050,2956,2881,3107,572,0,1848,15212,16694,14148,12159,8171,6871,5362,3589,19,0,3004,0,0,636,646,581,927,943,932,986,1027,1036,1084,290,0,976,5366,5991,5216,4170,2643,2247,1550,931,5,0,648,0,0
19,Alabama,31.5,26290,521.64,5157699,40,1,40,48,32,99461,39499,198922,0,99,1105,9500,558,0,760,1582,16,0,0,1642,0,40,124,192,11849,17185,1495,37,3293,69203,2619,685,240,6937,503,748,8120,3,282,0,31,368,313,77859,1612,0,0,58808,222,146,526,687,790,1824,2206,2294,2391,2546,2659,2621,106,0,565,14513,16027,13920,12273,8101,6251,4361,2828,4,0,1968,0,0,192,232,223,549,669,854,882,1012,1090,1104,46,0,252,5813,6728,6138,5200,3445,2290,1441,858,1,0,480,0,0
